aX,aY,aZ,gX,gY,gZ
-0.840,-0.799,0.273,45.410,300.171,30.884
-0.881,-0.700,-0.196,62.256,295.227,21.423
-0.955,-0.563,-0.663,71.960,284.851,15.564
-1.000,-0.449,-1.107,70.129,271.912,10.559
-1.040,-0.387,-1.473,60.913,258.545,4.761
-1.118,-0.393,-1.795,48.950,246.033,-0.305
-1.293,-0.496,-2.102,38.025,232.422,-4.150
-1.478,-0.549,-2.427,32.532,215.027,-6.531
-1.568,-0.534,-2.680,32.654,194.153,-5.859
-1.559,-0.536,-2.791,30.518,167.297,-4.761
-1.490,-0.538,-2.789,19.714,136.963,-2.930
-1.364,-0.576,-2.689,3.906,104.980,0.244
-1.184,-0.612,-2.507,-10.315,72.266,3.357
-0.986,-0.650,-2.252,-22.156,39.734,6.042
-0.774,-0.664,-1.936,-30.945,9.521,6.287
-0.540,-0.689,-1.591,-36.804,-15.808,4.028
-0.324,-0.731,-1.235,-39.917,-36.438,1.404
-0.129,-0.757,-0.929,-41.382,-50.476,-0.549
-0.007,-0.771,-0.671,-41.382,-58.350,-1.282
0.078,-0.799,-0.471,-40.039,-61.523,-2.930
0.118,-0.814,-0.294,-39.185,-61.829,-4.028
0.166,-0.900,-0.119,-38.818,-58.655,-5.432
0.183,-0.962,0.004,-38.696,-54.688,-10.193
0.174,-1.028,0.072,-35.706,-50.171,-12.512
0.126,-1.099,0.107,-31.921,-47.302,-13.306
0.083,-1.110,0.131,-27.161,-45.288,-14.526
0.050,-1.112,0.129,-20.386,-43.213,-18.188
0.043,-1.117,0.110,-11.292,-40.771,-24.963
0.029,-1.115,0.098,-3.540,-38.818,-30.273
0.050,-1.102,0.069,-0.366,-36.499,-32.898
0.040,-1.069,0.063,-0.366,-32.532,-32.837
0.010,-1.126,0.043,-3.418,-30.640,-27.222
-0.000,-1.163,0.037,-5.676,-26.062,-27.405
-0.028,-1.194,0.016,-2.991,-22.583,-27.344
-0.048,-1.178,0.008,1.892,-18.616,-25.330
-0.042,-1.182,-0.013,4.700,-14.282,-21.423
-0.050,-1.148,-0.040,6.104,-8.789,-16.357
-0.081,-1.116,-0.083,7.385,-3.967,-12.085
-0.115,-1.112,-0.129,5.432,-1.160,-8.728
-0.140,-1.097,-0.162,2.014,-1.343,-5.737
-0.153,-1.065,-0.177,0.977,-2.991,-3.662
-0.162,-1.026,-0.183,1.282,-5.432,-2.991
-0.139,-1.020,-0.191,-0.183,-7.507,-3.723
-0.122,-1.032,-0.187,-3.113,-9.766,-4.761
-0.109,-0.980,-0.161,-2.625,-1.343,1.282
