aX,aY,aZ,gX,gY,gZ
-0.229,-1.367,0.222,-33.691,16.418,9.521
-0.247,-1.377,0.227,-26.733,17.273,8.301
-0.262,-1.370,0.224,-19.043,16.602,5.066
-0.277,-1.351,0.215,-11.292,14.465,-1.526
-0.279,-1.311,0.193,-4.089,10.986,-9.705
-0.271,-1.267,0.178,2.258,6.104,-17.883
-0.250,-1.210,0.158,6.409,1.526,-25.208
-0.232,-1.162,0.142,8.423,-1.343,-30.029
-0.238,-1.123,0.135,7.751,-2.991,-29.968
-0.245,-1.110,0.128,6.470,-3.235,-25.696
-0.239,-1.108,0.127,4.639,-2.747,-18.372
-0.240,-1.083,0.127,1.587,-2.625,-10.864
-0.249,-1.075,0.131,-0.854,-1.465,-4.456
-0.262,-1.079,0.136,-2.014,0.488,-0.122
-0.287,-1.110,0.148,-0.305,2.319,3.418
-0.297,-1.100,0.146,1.343,1.404,6.836
-0.299,-1.057,0.139,2.136,-0.916,6.470
-0.292,-1.022,0.134,4.700,-1.465,3.113
-0.281,-0.983,0.122,7.019,-1.038,-1.221
-0.274,-0.959,0.116,8.545,0.122,-5.188
-0.287,-0.957,0.044,2.686,-0.610,1.343
-0.284,-0.967,0.045,3.052,-0.671,0.488
-0.284,-0.961,0.046,2.991,-0.854,-0.183
-0.285,-0.964,0.049,2.991,-0.854,-0.427
-0.286,-0.972,0.048,3.113,-0.427,-0.854
-0.286,-0.972,0.047,3.235,-0.427,-0.793
-0.284,-0.971,0.047,3.418,-0.610,-0.916
-0.283,-0.968,0.046,3.479,-0.793,-0.977
-0.279,-0.962,0.045,3.418,-0.854,-0.549
-0.285,-0.958,0.043,3.174,-1.099,-0.061
-0.279,-0.961,0.043,2.808,-1.282,-0.305
-0.275,-0.971,0.042,2.869,-1.221,-0.549
-0.281,-0.976,0.046,2.747,-1.282,-0.244
-0.285,-0.986,0.047,2.686,-1.160,0.122
-0.282,-0.988,0.045,3.052,-1.099,0.488
-0.279,-0.983,0.042,3.479,-0.610,0.671
-0.283,-0.978,0.042,3.662,-0.366,0.732
-0.289,-0.974,0.041,3.540,-0.366,-0.061
-0.288,-0.980,0.040,3.174,-0.427,-0.610
-0.282,-0.978,0.042,3.052,-0.610,-0.793
-0.275,-0.974,0.046,2.563,-0.916,-0.732
-0.269,-0.978,0.050,1.831,-0.916,-0.793
-0.267,-0.975,0.050,1.282,-0.671,-0.427
-0.269,-0.973,0.053,0.977,-0.427,-0.061
-0.263,-0.970,0.052,0.977,-0.244,-0.061
-0.261,-0.957,0.052,0.549,-0.061,-0.061
-0.263,-0.947,0.052,-0.183,-0.122,-0.427
-0.262,-0.934,0.050,-1.160,0.061,-1.038
-0.259,-0.937,0.048,-2.747,0.061,-1.282
-0.260,-0.953,0.056,-3.662,-0.122,-1.587
-0.256,-0.983,0.063,-4.456,0.000,-2.625
-0.244,-1.011,0.075,-5.310,0.122,-3.357
-0.245,-1.084,0.102,-7.141,-0.122,-3.235
-0.230,-1.198,0.132,-11.536,-0.549,-2.014
-0.196,-1.355,0.156,-18.433,-0.854,1.892
-0.209,-1.609,0.198,-26.917,-0.549,9.766
-0.286,-1.981,0.232,-36.438,0.977,18.188
-0.407,-2.483,0.267,-45.044,5.066,25.574
-0.515,-3.094,0.315,-48.279,8.423,31.738
-0.647,-3.681,0.343,-41.626,9.644,35.217
-0.826,-4.000,0.372,-24.719,11.841,36.438
-0.979,-4.000,0.381,1.892,14.771,36.377
-1.121,-4.000,0.409,38.269,13.245,41.382
-1.266,-4.000,0.448,78.247,7.019,54.626
-1.387,-4.000,0.513,113.403,-0.244,72.510
-1.505,-4.000,0.558,139.221,-7.019,86.243
-1.592,-3.658,0.558,158.386,-14.099,99.976
-1.615,-3.192,0.540,169.739,-22.156,125.549
-1.657,-2.708,0.566,172.363,-33.813,159.668
-1.738,-2.207,0.527,172.852,-47.363,195.496
-1.672,-1.662,0.577,176.086,-53.284,224.731
-1.561,-1.101,0.603,179.993,-57.983,249.023
-1.386,-0.478,0.588,182.007,-60.303,269.836
-1.154,0.124,0.556,181.824,-60.303,292.480
-0.993,0.583,0.497,174.011,-56.885,309.998
-0.880,0.943,0.400,156.982,-52.612,319.214
-0.775,1.282,0.366,141.724,-47.058,325.195
-0.688,1.678,0.340,131.470,-47.302,329.590
-0.470,2.187,0.302,126.404,-49.316,325.989
-0.052,2.776,0.226,123.352,-43.945,307.495
0.390,3.315,0.176,118.774,-30.823,271.545
0.694,3.749,0.093,111.511,-18.433,218.994
0.937,4.000,0.010,99.548,-6.287,151.428
1.089,4.000,-0.053,81.360,4.272,83.984
1.065,4.000,-0.039,49.194,6.897,21.240
0.911,4.000,0.019,5.249,1.953,-41.077
0.707,3.985,0.094,-44.373,-4.700,-103.088
0.516,3.573,0.182,-93.811,-8.240,-158.325
0.265,3.079,0.290,-132.202,-6.775,-203.064
-0.047,2.618,0.400,-157.715,-2.319,-235.107
-0.343,2.182,0.475,-174.377,6.775,-253.967
-0.531,1.791,0.476,-183.289,20.386,-260.071
-0.665,1.472,0.467,-187.683,33.447,-256.409
-0.850,1.198,0.500,-188.416,40.466,-253.235
-1.121,0.868,0.572,-185.852,39.917,-255.249
-1.403,0.504,0.620,-185.364,33.386,-258.362
-1.613,0.031,0.640,-189.331,22.827,-254.578
-1.821,-0.617,0.735,-193.726,7.874,-239.868
-2.034,-1.311,0.834,-190.613,-10.376,-220.154
-2.082,-1.991,0.852,-174.316,-24.292,-201.599
-1.945,-2.653,0.817,-147.583,-33.264,-182.251
-1.699,-3.017,0.739,-112.244,-39.734,-164.490
-1.407,-3.046,0.676,-82.214,-42.969,-147.278
-1.132,-3.015,0.617,-65.735,-40.161,-128.601
-0.861,-3.005,0.566,-61.340,-30.518,-107.727
-0.623,-2.958,0.505,-67.261,-17.029,-83.557
-0.454,-2.885,0.438,-76.111,-3.906,-56.213
-0.375,-2.842,0.362,-76.599,6.165,-33.386
-0.345,-2.759,0.291,-66.895,11.292,-22.339
-0.315,-2.649,0.208,-47.668,13.489,-22.278
-0.299,-2.534,0.140,-20.813,13.367,-28.625
-0.313,-2.403,0.097,9.216,11.414,-42.114
-0.310,-2.216,0.069,36.255,8.179,-64.758
-0.284,-1.988,0.055,54.138,4.089,-88.928
-0.236,-1.730,0.052,59.692,1.038,-105.591
-0.205,-1.536,0.056,52.490,0.793,-108.582
-0.212,-1.413,0.052,34.058,4.517,-94.971
-0.233,-1.352,0.046,8.057,10.986,-64.941
-0.270,-1.378,0.049,-17.029,17.944,-27.649
-0.333,-1.457,0.071,-36.926,23.193,3.723
-0.377,-1.543,0.083,-48.584,25.879,24.597
-0.401,-1.605,0.093,-51.025,25.818,34.485
-0.421,-1.620,0.100,-46.448,22.156,33.997
-0.428,-1.584,0.109,-37.231,16.113,25.269
-0.409,-1.517,0.112,-27.832,8.789,13.000
-0.350,-1.443,0.114,-19.714,2.014,3.418
-0.287,-1.355,0.123,-13.916,-3.357,-0.610
-0.242,-1.281,0.131,-10.437,-7.141,-1.465
-0.210,-1.257,0.142,-8.423,-9.155,-0.244
-0.187,-1.262,0.154,-5.432,-9.094,3.784
-0.183,-1.240,0.158,-1.648,-8.240,7.935
-0.179,-1.205,0.165,1.526,-7.019,8.850
-0.180,-1.173,0.166,4.272,-6.287,7.263
-0.184,-1.113,0.171,6.042,-5.859,3.479
-0.172,-1.106,0.176,7.507,-4.578,1.221
-0.167,-1.082,0.176,7.996,-3.418,2.319
-0.177,-1.040,0.177,8.301,-2.136,5.554
-0.185,-0.998,0.172,9.277,0.183,7.080
-0.186,-0.956,0.159,9.888,2.563,6.714
-0.290,-0.989,0.083,-3.418,0.427,-2.930
-0.286,-0.989,0.085,-2.869,0.671,-3.052
-0.295,-0.992,0.086,-2.319,0.244,-3.418
-0.299,-0.998,0.089,-2.075,0.366,-3.845
-0.295,-1.011,0.088,-1.709,0.488,-4.333
-0.296,-1.016,0.089,-0.854,0.549,-3.906
-0.299,-1.013,0.087,0.122,0.916,-3.113
-0.305,-1.004,0.083,0.305,1.282,-2.869
-0.307,-0.999,0.082,0.427,1.282,-3.174
-0.308,-0.997,0.081,0.366,1.099,-3.235
-0.305,-0.996,0.078,0.122,0.793,-3.418
-0.303,-1.001,0.081,0.000,0.610,-3.174
-0.306,-1.001,0.079,0.122,0.671,-2.869
-0.307,-0.992,0.078,0.244,0.427,-2.686
-0.306,-0.989,0.078,0.427,0.366,-2.747
-0.307,-0.988,0.077,0.549,0.427,-2.625
-0.307,-0.986,0.075,0.122,0.549,-2.014
-0.308,-0.982,0.078,-0.061,0.488,-1.160
